ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
55,25,0.03,-5800.657917378207,-0.0009716513640982768,6.321321312482975,103,23,80,-2.3442979488311417,-4.092257762847134
55,27,0.03,-5404.099454930261,-0.0008999875171597154,6.490854367352967,101,23,78,-2.451108162111885,-3.989445473428392
55,29,0.03,-5220.028633551366,-0.0008678740301809372,6.177264007337754,99,23,76,-2.512457318536154,-3.988323502020267
55,31,0.03,-4931.289187074816,-0.0008144393126044649,5.817892046547076,96,22,74,-2.5758297344927614,-3.7860478782608844
55,33,0.03,-4478.105006756309,-0.0007492218472507524,5.557266459684606,93,22,71,-2.5960570347468335,-3.4128496920645652
55,35,0.03,-4513.982513001673,-0.0007595074632162197,5.525853338843748,92,23,69,-2.6078363588560936,-3.4376301042331074
55,37,0.03,-4662.180217936022,-0.0007911136073459742,5.847894450112968,91,22,69,-2.5726633190539583,-3.6291333129933454
55,39,0.03,-4668.248443351667,-0.000801512052632461,5.883776181163546,90,22,68,-2.5912134527585415,-3.6263195729276565
55,41,0.03,-4922.949904552539,-0.0008451971319418652,5.96391023013712,90,21,69,-2.6078253876829014,-3.864992044083335
55,43,0.03,-4948.738813348265,-0.0008485716495710329,5.977425902061784,91,21,70,-2.5995738221860414,-3.876325955470998
55,45,0.03,-5015.146643295037,-0.0008504945221952475,6.043317005704511,90,21,69,-2.5854765815254193,-3.8948432384670086
55,47,0.03,-4912.375658262873,-0.0008362215071326375,5.96487775932558,89,21,68,-2.5145149842767345,-3.824528032486115
55,49,0.03,-4714.664447054362,-0.0008021935738018162,5.680628934687359,86,21,65,-2.5874868069484247,-3.6938755191377948
